area_peril_id,lon,lat,peril_id,coverage_type
329,106.01692,-5.89793,QTS,1
330,106.0032,-5.9223,QTS,1
331,114.39969,-8.14701,QTS,1
332,114.39972,-8.14726,QTS,1
333,114.39964,-8.14755,QTS,1
334,114.3997,-8.14777,QTS,1
335,106.01674,-5.89794,QTS,1
336,106.00364,-5.92186,QTS,1
337,114.39955,-8.14705,QTS,1
338,114.39955,-8.14721,QTS,1
339,114.39944,-8.14749,QTS,1
340,114.40042,-8.15262,QTS,1
341,114.40044,-8.15302,QTS,1
342,114.39348,-8.164,QTS,1
343,114.39348,-8.16428,QTS,1
344,106.01298,-5.90454,QTS,1
345,106.00377,-5.92167,QTS,1
346,106.00344,-5.92184,QTS,1
347,114.39926,-8.14721,QTS,1
348,114.39941,-8.1473,QTS,1
349,114.39931,-8.1476,QTS,1
350,114.4003,-8.15272,QTS,1
351,114.40031,-8.15289,QTS,1
352,114.3936,-8.16477,QTS,1
353,106.01282,-5.90452,QTS,1
354,106.00403,-5.92104,QTS,1
355,106.00335,-5.92161,QTS,1
356,114.40013,-8.15295,QTS,1
357,114.39999,-8.15332,QTS,1
358,114.3999,-8.15355,QTS,1
359,106.00387,-5.92103,QTS,1
360,106.00349,-5.92144,QTS,1
361,106.00396,-5.93429,QTS,1
362,106.00382,-5.93433,QTS,1
363,114.40001,-8.1528,QTS,1
364,114.39996,-8.15315,QTS,1
365,114.39989,-8.1534,QTS,1
366,114.39977,-8.15359,QTS,1
367,106.00345,-5.92123,QTS,1
368,106.00369,-5.93424,QTS,1
369,106.00352,-5.93432,QTS,1
370,106.00403,-5.94332,QTS,1
371,106.00353,-5.94378,QTS,1
372,114.39983,-8.15311,QTS,1
373,114.39974,-8.15335,QTS,1
374,114.39967,-8.15345,QTS,1
375,114.39428,-8.16491,QTS,1
376,106.00335,-5.93422,QTS,1
377,106.00391,-5.9432,QTS,1
378,106.00366,-5.94341,QTS,1
379,106.00339,-5.94367,QTS,1
380,106.00329,-5.94394,QTS,1
381,114.39976,-8.15296,QTS,1
382,114.39971,-8.15322,QTS,1
383,114.39954,-8.15348,QTS,1
384,114.3945,-8.16555,QTS,1
385,106.00242,-5.93542,QTS,1
386,106.00375,-5.94323,QTS,1
387,106.00349,-5.9434,QTS,1
388,106.00337,-5.94352,QTS,1
389,106.00319,-5.94407,QTS,1
390,114.39957,-8.15315,QTS,1
391,114.39445,-8.16461,QTS,1
392,114.39464,-8.16495,QTS,1
393,106.00448,-5.92009,QTS,1
394,105.997,-5.92235,QTS,1
395,105.99679,-5.92256,QTS,1
396,106.00234,-5.93512,QTS,1
397,106.0023,-5.9353,QTS,1
398,106.00342,-5.94325,QTS,1
399,106.00322,-5.94342,QTS,1
400,114.39466,-8.16474,QTS,1
401,114.38962,-8.17936,QTS,1
402,105.99684,-5.92228,QTS,1
403,105.99673,-5.92238,QTS,1
404,105.99669,-5.92268,QTS,1
405,106.00238,-5.93477,QTS,1
406,106.0022,-5.93565,QTS,1
407,106.00216,-5.93584,QTS,1
408,106.00325,-5.94326,QTS,1
409,106.00306,-5.94351,QTS,1
410,106.00293,-5.94386,QTS,1
411,106.00274,-5.94427,QTS,1
412,114.39859,-8.1545,QTS,1
413,105.99657,-5.92233,QTS,1
414,105.9965,-5.92264,QTS,1
415,105.99642,-5.92278,QTS,1
416,106.00223,-5.93485,QTS,1
417,106.00202,-5.93591,QTS,1
418,106.00291,-5.94341,QTS,1
419,106.00275,-5.94382,QTS,1
420,114.39775,-8.15587,QTS,1
421,114.3977,-8.15629,QTS,1
422,105.99644,-5.92246,QTS,1
423,106.0021,-5.93475,QTS,1
424,106.00194,-5.93498,QTS,1
425,106.0019,-5.93524,QTS,1
426,106.00191,-5.93554,QTS,1
427,106.00187,-5.93584,QTS,1
428,106.00187,-5.93638,QTS,1
429,106.00179,-5.93654,QTS,1
430,106.0029,-5.9432,QTS,1
431,106.00273,-5.94348,QTS,1
432,106.00267,-5.94364,QTS,1
433,114.39829,-8.15524,QTS,1
434,106.01114,-5.90434,QTS,1
435,105.99627,-5.92243,QTS,1
436,106.00195,-5.93482,QTS,1
437,106.00183,-5.93508,QTS,1
438,106.00182,-5.93537,QTS,1
439,106.00182,-5.93568,QTS,1
440,106.00176,-5.93597,QTS,1
441,106.00183,-5.9361,QTS,1
442,106.00177,-5.93624,QTS,1
443,106.00163,-5.93655,QTS,1
444,106.00161,-5.93684,QTS,1
445,106.00157,-5.93699,QTS,1
446,106.00157,-5.93732,QTS,1
447,106.00155,-5.93749,QTS,1
448,106.00153,-5.93784,QTS,1
449,106.00272,-5.94315,QTS,1
450,106.00262,-5.94332,QTS,1
451,106.01101,-5.90435,QTS,1
452,105.99625,-5.92207,QTS,1
453,105.99619,-5.92225,QTS,1
454,105.99614,-5.92256,QTS,1
455,106.00166,-5.93537,QTS,1
456,106.00165,-5.93566,QTS,1
457,106.00162,-5.93595,QTS,1
458,106.00159,-5.93625,QTS,1
459,106.00153,-5.9364,QTS,1
460,106.00153,-5.93671,QTS,1
461,106.00145,-5.93706,QTS,1
462,106.00145,-5.93723,QTS,1
463,106.00138,-5.93756,QTS,1
464,106.00137,-5.93774,QTS,1
465,106.00141,-5.9381,QTS,1
466,105.99676,-5.9213,QTS,1
467,105.99612,-5.92193,QTS,1
468,105.99601,-5.92229,QTS,1
469,105.99598,-5.92246,QTS,1
470,106.00158,-5.93522,QTS,1
471,106.00158,-5.93552,QTS,1
472,106.00155,-5.9358,QTS,1
473,106.00151,-5.9361,QTS,1
474,106.00136,-5.93646,QTS,1
475,106.00132,-5.93703,QTS,1
476,106.00132,-5.93728,QTS,1
477,106.00126,-5.93744,QTS,1
478,106.0012,-5.93786,QTS,1
479,106.00124,-5.93806,QTS,1
480,106.00123,-5.93841,QTS,1
481,105.99626,-5.92167,QTS,1
482,105.99587,-5.92216,QTS,1
483,106.00142,-5.93551,QTS,1
484,106.00141,-5.93578,QTS,1
485,106.00135,-5.93606,QTS,1
486,106.00123,-5.93636,QTS,1
487,106.00124,-5.93717,QTS,1
488,106.0011,-5.93745,QTS,1
489,106.00104,-5.93779,QTS,1
490,106.00113,-5.93822,QTS,1
491,106.00113,-5.93859,QTS,1
492,106.00893,-5.90736,QTS,1
493,105.99738,-5.92073,QTS,1
494,105.9957,-5.92224,QTS,1
495,106.00134,-5.93537,QTS,1
496,106.00135,-5.93564,QTS,1
497,106.00131,-5.9359,QTS,1
498,106.00123,-5.93617,QTS,1
499,106.00106,-5.93642,QTS,1
500,106.00107,-5.93672,QTS,1
501,106.00108,-5.937,QTS,1
502,106.00109,-5.93714,QTS,1
503,106.00101,-5.93727,QTS,1
504,106.00101,-5.93759,QTS,1
505,106.00087,-5.93787,QTS,1
506,106.00092,-5.93824,QTS,1
507,106.00096,-5.9386,QTS,1
508,105.99555,-5.92215,QTS,1
509,106.00119,-5.93538,QTS,1
510,106.00118,-5.93566,QTS,1
511,106.00116,-5.93582,QTS,1
512,106.00105,-5.93611,QTS,1
513,106.00095,-5.93625,QTS,1
514,106.00099,-5.93658,QTS,1
515,106.00098,-5.9369,QTS,1
516,106.00086,-5.93728,QTS,1
517,106.00084,-5.93757,QTS,1
518,106.0008,-5.93806,QTS,1
519,106.00085,-5.93843,QTS,1
520,106.00085,-5.93874,QTS,1
521,106.00086,-5.93891,QTS,1
522,106.00205,-5.94264,QTS,1
523,106.00111,-5.93554,QTS,1
524,106.00102,-5.93592,QTS,1
525,106.00084,-5.9369,QTS,1
526,106.00058,-5.93807,QTS,1
527,106.00069,-5.93849,QTS,1
528,106.00069,-5.93867,QTS,1
529,106.0007,-5.93904,QTS,1
530,106.00214,-5.94247,QTS,1
531,105.99529,-5.92197,QTS,1
532,105.99518,-5.9262,QTS,1
533,105.99535,-5.92681,QTS,1
534,105.99793,-5.93035,QTS,1
535,106.00092,-5.9353,QTS,1
536,106.00094,-5.9355,QTS,1
537,106.00084,-5.93585,QTS,1
538,106.00054,-5.93843,QTS,1
539,106.00053,-5.93895,QTS,1
540,106.00203,-5.94233,QTS,1
541,106.00443,-5.91021,QTS,1
542,106.00404,-5.91072,QTS,1
543,105.99524,-5.92752,QTS,1
544,105.9978,-5.93047,QTS,1
545,106.00079,-5.93521,QTS,1
546,106.00081,-5.93563,QTS,1
547,106.00042,-5.93861,QTS,1
548,106.00037,-5.93905,QTS,1
549,106.00428,-5.91012,QTS,1
550,106.00416,-5.9104,QTS,1
551,105.99503,-5.92747,QTS,1
552,106.00063,-5.93527,QTS,1
553,106.00063,-5.93558,QTS,1
554,106.00024,-5.93861,QTS,1
555,106.00019,-5.93896,QTS,1
556,106.00034,-5.93927,QTS,1
557,106.00028,-5.9397,QTS,1
558,106.00414,-5.91021,QTS,1
559,106.00342,-5.91125,QTS,1
560,105.99489,-5.92762,QTS,1
561,106.00053,-5.9351,QTS,1
562,106.00056,-5.93541,QTS,1
563,106.00012,-5.93878,QTS,1
564,106.00006,-5.93911,QTS,1
565,106.00014,-5.9393,QTS,1
566,106.00009,-5.93964,QTS,1
567,114.37983,-8.19892,QTS,1
568,114.37996,-8.19883,QTS,1
569,114.3798,-8.19923,QTS,1
570,105.99473,-5.92756,QTS,1
571,106.00035,-5.93509,QTS,1
572,106.00038,-5.93543,QTS,1
573,105.99991,-5.93876,QTS,1
574,105.9999,-5.93909,QTS,1
575,106.00003,-5.93946,QTS,1
576,105.99999,-5.93982,QTS,1
577,106.00012,-5.93998,QTS,1
578,114.38037,-8.19765,QTS,1
579,114.3799,-8.19909,QTS,1
580,114.3799,-8.19941,QTS,1
581,105.99803,-5.93162,QTS,1
582,106.00026,-5.93494,QTS,1
583,105.99982,-5.93892,QTS,1
584,105.99979,-5.93922,QTS,1
585,105.99982,-5.93941,QTS,1
586,114.38043,-8.1978,QTS,1
587,114.38031,-8.19794,QTS,1
588,105.99645,-5.93029,QTS,1
589,105.99658,-5.93036,QTS,1
590,105.99675,-5.93062,QTS,1
591,105.99683,-5.93077,QTS,1
592,105.99739,-5.93101,QTS,1
593,105.99753,-5.9313,QTS,1
594,105.99768,-5.93137,QTS,1
595,105.99792,-5.9315,QTS,1
596,105.99797,-5.9318,QTS,1
597,106.00005,-5.93472,QTS,1
598,106.00008,-5.93491,QTS,1
599,105.9995,-5.93864,QTS,1
600,105.99964,-5.93896,QTS,1
601,105.99963,-5.93915,QTS,1
602,105.99967,-5.93953,QTS,1
603,105.99921,-5.95335,QTS,1
604,105.99919,-5.95357,QTS,1
605,114.36406,-8.54748,QTS,1
606,114.38005,-8.19999,QTS,1
607,114.38034,-8.19838,QTS,1
608,114.38019,-8.19972,QTS,1
609,106.00122,-5.91358,QTS,1
610,105.99433,-5.92094,QTS,1
611,105.9966,-5.93056,QTS,1
612,105.99679,-5.93094,QTS,1
613,105.99711,-5.93099,QTS,1
614,105.99724,-5.93109,QTS,1
615,105.99737,-5.93138,QTS,1
616,105.99773,-5.93153,QTS,1
617,105.99779,-5.93186,QTS,1
618,105.99951,-5.93885,QTS,1
619,105.99948,-5.93924,QTS,1
