coverage_id,tiv
321,166000000
322,166000000
323,166000000
324,166000000
325,166000000
326,166000000
327,166000000
328,166000000
329,166000000
330,166000000
331,166000000
332,166000000
333,166000000
334,166000000
335,166000000
336,166000000
337,166000000
338,166000000
339,166000000
340,166000000
341,166000000
342,166000000
343,166000000
344,166000000
345,166000000
346,166000000
347,166000000
348,166000000
349,166000000
350,166000000
351,166000000
352,166000000
353,166000000
354,166000000
355,166000000
356,166000000
357,166000000
358,166000000
359,166000000
360,166000000
361,166000000
362,166000000
363,166000000
364,166000000
365,166000000
366,166000000
367,166000000
368,166000000
369,166000000
370,166000000
371,166000000
372,166000000
373,166000000
374,166000000
375,166000000
376,166000000
377,166000000
378,166000000
379,166000000
380,166000000
381,166000000
382,166000000
383,166000000
384,166000000
385,166000000
386,166000000
387,166000000
388,166000000
389,166000000
390,166000000
391,166000000
392,166000000
393,166000000
394,166000000
395,166000000
396,166000000
397,166000000
398,166000000
399,166000000
400,166000000
401,166000000
402,166000000
403,166000000
404,166000000
405,166000000
406,166000000
407,166000000
408,166000000
409,166000000
410,166000000
411,166000000
412,166000000
413,166000000
414,166000000
415,166000000
416,166000000
417,166000000
418,166000000
419,166000000
420,166000000
421,166000000
422,166000000
423,166000000
424,166000000
425,166000000
426,166000000
427,166000000
428,166000000
429,166000000
430,166000000
431,166000000
432,166000000
433,166000000
434,166000000
435,166000000
436,166000000
437,166000000
438,166000000
439,166000000
440,166000000
441,166000000
442,166000000
443,166000000
444,166000000
445,166000000
446,166000000
447,166000000
448,166000000
449,166000000
450,166000000
451,166000000
452,166000000
453,166000000
454,166000000
455,166000000
456,166000000
457,166000000
458,166000000
459,166000000
460,166000000
461,166000000
462,166000000
463,166000000
464,166000000
465,166000000
466,166000000
467,166000000
468,166000000
469,166000000
470,166000000
471,166000000
472,166000000
473,166000000
474,166000000
475,166000000
476,166000000
477,166000000
478,166000000
479,166000000
480,166000000
481,166000000
482,166000000
483,166000000
484,166000000
485,166000000
486,166000000
487,166000000
488,166000000
489,166000000
490,166000000
491,166000000
492,166000000
493,166000000
494,166000000
495,166000000
496,166000000
497,166000000
498,166000000
499,166000000
500,166000000
501,166000000
502,166000000
503,166000000
504,166000000
505,166000000
506,166000000
507,166000000
508,166000000
509,166000000
510,166000000
511,166000000
512,166000000
513,166000000
514,166000000
515,166000000
516,166000000
517,166000000
518,166000000
519,166000000
520,166000000
521,166000000
522,166000000
523,166000000
524,166000000
525,166000000
526,166000000
527,166000000
528,166000000
529,166000000
530,166000000
531,166000000
532,166000000
533,166000000
534,166000000
535,166000000
536,166000000
537,166000000
538,166000000
539,166000000
540,166000000
541,166000000
542,166000000
543,166000000
544,166000000
545,166000000
546,166000000
547,166000000
548,166000000
549,166000000
550,166000000
551,166000000
552,166000000
553,166000000
554,166000000
555,166000000
556,166000000
557,166000000
558,166000000
559,166000000
560,166000000
561,166000000
562,166000000
563,166000000
564,166000000
565,166000000
566,166000000
567,166000000
568,166000000
569,166000000
570,166000000
571,166000000
572,166000000
573,166000000
574,166000000
575,166000000
576,166000000
577,166000000
578,166000000
579,166000000
580,166000000
581,166000000
582,166000000
583,166000000
584,166000000
585,166000000
586,166000000
587,166000000
588,166000000
589,166000000
590,166000000
591,166000000
592,166000000
593,166000000
594,166000000
595,166000000
596,166000000
597,166000000
598,166000000
599,166000000
