event_id,period_no,occ_year,occ_month,occ_day
149,8790,8790,1,1
412,8792,8792,1,1
260,8811,8811,1,1
240,8838,8838,1,1
550,8839,8839,1,1
49,8858,8858,1,1
683,8892,8892,1,1
595,8912,8912,1,1
194,8921,8921,1,1
136,8922,8922,1,1
603,8950,8950,1,1
165,8980,8980,1,1
525,9010,9010,1,1
444,9094,9094,1,1
289,9104,9104,1,1
429,9130,9130,1,1
651,9133,9133,1,1
276,9134,9134,1,1
551,9137,9137,1,1
493,9141,9141,1,1
251,9152,9152,1,1
182,9156,9156,1,1
524,9205,9205,1,1
336,9268,9268,1,1
622,9283,9283,1,1
378,9284,9284,1,1
629,9312,9312,1,1
290,9335,9335,1,1
461,9345,9345,1,1
443,9359,9359,1,1
654,9366,9366,1,1
407,9371,9371,1,1
381,9412,9412,1,1
517,9414,9414,1,1
349,9443,9443,1,1
599,9452,9452,1,1
632,9465,9465,1,1
519,9479,9479,1,1
335,9601,9601,1,1
582,9607,9607,1,1
373,9617,9617,1,1
553,9623,9623,1,1
197,9657,9657,1,1
648,9684,9684,1,1
334,9741,9741,1,1
95,9766,9766,1,1
257,9772,9772,1,1
465,9826,9826,1,1
597,9832,9832,1,1
469,9924,9924,1,1
226,9963,9963,1,1
669,9965,9965,1,1
300,9980,9980,1,1
345,9985,9985,1,1
642,9991,9991,1,1
617,10041,10041,1,1
176,10044,10044,1,1
577,10064,10064,1,1
583,10067,10067,1,1
326,10088,10088,1,1
310,10089,10089,1,1
308,10107,10107,1,1
513,10114,10114,1,1
481,10119,10119,1,1
317,10124,10124,1,1
644,10139,10139,1,1
678,10145,10145,1,1
370,10157,10157,1,1
591,10162,10162,1,1
192,10163,10163,1,1
512,10183,10183,1,1
604,10225,10225,1,1
36,10277,10277,1,1
282,10281,10281,1,1
668,10334,10334,1,1
509,10339,10339,1,1
611,10360,10360,1,1
365,10397,10397,1,1
476,10428,10428,1,1
729,10442,10442,1,1
288,10451,10451,1,1
332,10452,10452,1,1
248,10470,10470,1,1
448,10479,10479,1,1
547,10492,10492,1,1
693,10493,10493,1,1
146,10515,10515,1,1
83,10519,10519,1,1
143,10539,10539,1,1
82,10599,10599,1,1
87,10600,10600,1,1
516,10615,10615,1,1
589,10643,10643,1,1
173,10660,10660,1,1
163,10669,10669,1,1
419,10713,10713,1,1
101,10798,10798,1,1
630,10841,10841,1,1
48,10847,10847,1,1
52,10851,10851,1,1
359,10852,10852,1,1
428,10867,10867,1,1
100,10871,10871,1,1
502,10872,10872,1,1
664,10875,10875,1,1
261,10920,10920,1,1
265,10926,10926,1,1
548,10935,10935,1,1
117,10958,10958,1,1
442,10970,10970,1,1
499,10973,10973,1,1
451,10997,10997,1,1
500,11017,11017,1,1
433,11050,11050,1,1
490,11066,11066,1,1
361,11093,11093,1,1
573,11135,11135,1,1
94,11142,11142,1,1
42,11157,11157,1,1
12,11166,11166,1,1
438,11187,11187,1,1
134,11210,11210,1,1
341,11266,11266,1,1
527,11307,11307,1,1
715,11353,11353,1,1
329,11361,11361,1,1
275,11408,11408,1,1
621,11413,11413,1,1
403,11446,11446,1,1
206,11460,11460,1,1
201,11461,11461,1,1
118,11469,11469,1,1
681,11474,11474,1,1
125,11475,11475,1,1
356,11479,11479,1,1
90,11485,11485,1,1
168,11487,11487,1,1
47,11535,11535,1,1
545,11564,11564,1,1
81,11581,11581,1,1
294,11587,11587,1,1
189,11614,11614,1,1
64,11636,11636,1,1
615,11671,11671,1,1
434,11680,11680,1,1
571,11694,11694,1,1
210,11703,11703,1,1
155,11759,11759,1,1
574,11800,11800,1,1
673,11844,11844,1,1
224,11860,11860,1,1
672,11929,11929,1,1
120,11940,11940,1,1
292,11988,11988,1,1
96,12000,12000,1,1
320,12013,12013,1,1
415,12044,12044,1,1
537,12048,12048,1,1
50,12061,12061,1,1
303,12065,12065,1,1
636,12077,12077,1,1
286,12080,12080,1,1
230,12095,12095,1,1
486,12121,12121,1,1
560,12151,12151,1,1
688,12173,12173,1,1
405,12193,12193,1,1
406,12202,12202,1,1
398,12209,12209,1,1
32,12222,12222,1,1
487,12243,12243,1,1
667,12259,12259,1,1
427,12282,12282,1,1
623,12290,12290,1,1
631,12299,12299,1,1
646,12326,12326,1,1
225,12358,12358,1,1
299,12461,12461,1,1
328,12481,12481,1,1
382,12548,12548,1,1
563,12561,12561,1,1
462,12584,12584,1,1
684,12662,12662,1,1
109,12676,12676,1,1
392,12701,12701,1,1
435,12723,12723,1,1
219,12758,12758,1,1
93,12773,12773,1,1
246,12836,12836,1,1
663,12840,12840,1,1
313,12844,12844,1,1
218,12862,12862,1,1
466,12909,12909,1,1
457,12914,12914,1,1
58,12929,12929,1,1
510,12953,12953,1,1
529,12957,12957,1,1
202,12978,12978,1,1
609,12980,12980,1,1
687,13012,13012,1,1
420,13029,13029,1,1
31,13042,13042,1,1
13,13047,13047,1,1
70,13069,13069,1,1
20,13081,13081,1,1
233,13086,13086,1,1
311,13102,13102,1,1
505,13104,13104,1,1
122,13113,13113,1,1
472,13121,13121,1,1
460,13125,13125,1,1
266,13141,13141,1,1
635,13160,13160,1,1
78,13178,13178,1,1
459,13194,13194,1,1
59,13197,13197,1,1
689,13198,13198,1,1
515,13248,13248,1,1
468,13314,13314,1,1
156,13334,13334,1,1
608,13401,13401,1,1
677,13402,13402,1,1
588,13422,13422,1,1
40,13453,13453,1,1
546,13472,13472,1,1
75,13473,13473,1,1
680,13510,13510,1,1
670,13514,13514,1,1
119,13523,13523,1,1
395,13535,13535,1,1
401,13539,13539,1,1
88,13572,13572,1,1
404,13588,13588,1,1
306,13595,13595,1,1
375,13627,13627,1,1
520,13628,13628,1,1
494,13634,13634,1,1
440,13652,13652,1,1
649,13653,13653,1,1
725,13662,13662,1,1
153,13669,13669,1,1
522,13673,13673,1,1
425,13740,13740,1,1
10,13744,13744,1,1
439,13759,13759,1,1
339,13772,13772,1,1
581,13780,13780,1,1
171,13811,13811,1,1
721,13844,13844,1,1
